"spkid","name","neo"
20337119,,Y
20337248,,Y
20337252,,Y
20337345,,Y
20337557,,Y
20337558,,Y
20337866,,Y
20338049,,Y
20338172,,Y
20338176,,Y
20338292,,Y
20338347,,Y
20338567,,Y
20339492,,Y
20339714,,Y
20339715,,Y
20340048,,Y
20340291,,Y
20340666,,Y
20341050,,Y
20341816,,Y
20341843,,Y
20342866,,Y
20343098,,Y
20343158,Marsyas,Y
20343166,,Y
20344074,,Y
20344076,,Y
20344133,,Y
20344143,,Y
20344756,,Y
20345646,,Y
20345705,,Y
20345722,,Y
20345813,,Y
20345853,,Y
20347634,,Y
20347813,,Y
20348304,,Y
20348306,,Y
20348314,,Y
20348400,,Y
20348461,,Y
20348595,,Y
20348776,,Y
20349063,,Y
20349068,,Y
20349074,,Y
20349219,,Y
20349507,,Y
20349925,,Y
20349928,,Y
20350462,,Y
20350513,,Y
20350523,,Y
20350536,,Y
20350713,,Y
20350751,,Y
20350964,,Y
20350988,,Y
20351278,,Y
20351331,,Y
20351340,,Y
20351370,,Y
20351508,,Y
20351545,,Y
20351815,,Y
20352102,,Y
20352143,,Y
20353190,,Y
20353938,,Y
20353947,,Y
20354030,,Y
20354101,,Y
20354127,,Y
20354182,,Y
20354332,,Y
20354663,,Y
20354713,,Y
20354876,,Y
20354952,,Y
20355046,,Y
20355256,,Y
20355770,,Y
20356285,,Y
20356394,,Y
20356991,,Y
20357005,,Y
20357022,,Y
20357024,,Y
20357028,,Y
20357058,,Y
20357311,,Y
20357414,,Y
20357439,,Y
20357594,,Y
20357618,,Y
20357621,,Y
20357622,,Y
20358453,,Y
20358471,,Y
20358744,,Y
20359170,,Y
20359242,,Y
20359369,,Y
20359592,,Y
20360191,,Y
20360192,,Y
20360433,,Y
20360502,,Y
20361071,,Y
20361123,,Y
20361518,,Y
20361532,,Y
20361538,,Y
20361611,,Y
20361689,,Y
20361754,,Y
20361861,,Y
20362310,,Y
20363024,,Y
20363027,,Y
20363067,,Y
20363069,,Y
20363071,,Y
20363075,,Y
20363076,,Y
20363084,,Y
20363116,,Y
20363163,,Y
20363267,,Y
20363298,,Y
20363305,,Y
20363344,,Y
20363505,,Y
20363599,,Y
20363617,,Y
20363626,,Y
20363734,,Y
20363790,,Y
20363814,,Y
20363831,,Y
20364136,,Y
20364762,,Y
20364877,,Y
20365014,,Y
20365071,,Y
20365246,,Y
20365424,,Y
20365449,,Y
20366470,,Y
20366615,,Y
20366733,,Y
20366746,,Y
20366774,,Y
20366833,,Y
20367248,,Y
20367390,,Y
20367525,,Y
20367638,,Y
20367684,,Y
20367789,,Y
20367943,Duende,Y
20368184,,Y
20368203,,Y
20368565,,Y
20368664,,Y
20368790,,Y
20368949,,Y
20369057,,Y
20369264,,Y
20369296,,Y
20369452,,Y
20369454,,Y
20369983,,Y
20369984,,Y
20369986,,Y
20370037,,Y
20370061,,Y
20370307,,Y
20370688,,Y
20370702,,Y
20371336,,Y
20371660,,Y
20371973,,Y
20373135,,Y
20373393,,Y
20373428,,Y
20373503,,Y
20373579,,Y
20374038,,Y
20374158,,Y
20374188,,Y
20374267,,Y
20374449,,Y
20374851,,Y
20374855,,Y
20375054,,Y
20375103,,Y
20375505,,Y
20375657,,Y
20376707,,Y
20376729,,Y
20376775,,Y
20376778,,Y
20376788,,Y
20376848,,Y
20376864,,Y
20376879,,Y
20376883,,Y
20377097,,Y
20377732,,Y
20377972,,Y
20378124,,Y
20378160,,Y
20378358,,Y
20378526,,Y
20378610,,Y
20378842,,Y
20380128,,Y
20380160,,Y
20380188,,Y
20380205,,Y
20380321,,Y
20380359,,Y
20380455,,Y
20380476,,Y
20380524,,Y
20380636,,Y
20380818,,Y
20380929,,Y
20380981,,Y
20381181,,Y
20381564,,Y
20381677,,Y
20381906,,Y
20381989,,Y
20382395,,Y
20382406,,Y
20382459,,Y
20382503,,Y
20382625,,Y
20382745,,Y
20382758,,Y
20382825,,Y
20382875,,Y
20383610,,Y
20385186,,Y
20385252,,Y
20385268,,Y
20385343,,Y
20385402,,Y
20385423,,Y
20385497,,Y
20385580,,Y
20385605,,Y
20385843,,Y
20386259,,Y
20386281,,Y
20386298,,Y
